Station Name,Latitudes,Longitudes,Capability 1,Capability 2,Capability 3,Capability 4,Capability 5,Capability 1 Deployed,Capability 1 Available,Capability 2 Maintenance,Capability 2 Deployed,Capability 2 Available,Capability 3 Maintenance,Capability 3 Deployed,Capability 3 Available,Capability 4 Maintenance,Capability 4 Deployed,Capability 4 Available,Capability 5 Maintenance,Capability 5 Deployed,Capability 5 Available,Capability 1 Deployed Latitude,Capability 1 Deployed Longitude,Capability 2 Deployed Latitude,Capability 2 Deployed Longitude,Capability 3 Deployed Latitude,Capability 3 Deployed Longitude,Capability 4 Deployed Latitude,Capability 4 Deployed Longitude,Capability 5 Deployed Latitude,Capability 5 Deployed Longitude
Station 1,-31.973403,115.847583,4,0,0,2,3,0,4,0,0,0,0,0,0,0,0,2,0,0,3,,,,,,,,,,
Station 2,-31.866206,115.828745,2,5,2,1,0,0,2,0,1,4,0,0,2,0,0,1,0,0,0,,,-31.971679,115.918944,,,,,,
Station 3,-32.165991,115.816748,4,3,1,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,,,,,,,,,,
Station 4,-31.816838,115.760517,6,3,4,2,0,1,3,0,0,3,0,1,3,0,0,2,0,0,0,-32.012126,115.88432,,,-31.910366,115.828205,,,,
Station 5,-32.126621,115.838945,6,7,6,0,4,1,5,2,1,4,0,1,5,0,0,0,1,0,3,-32.164492,115.989105,-31.929195,115.892469,-31.84064,115.916725,,,,
Station 6,-31.937188,115.93329,6,2,1,4,0,1,4,0,0,2,0,0,1,1,0,3,0,0,0,-31.975979,115.810116,,,,,,,,
Station 7,-32.003694,115.975009,5,5,3,0,0,1,4,1,1,3,0,0,3,0,0,0,0,0,0,-31.888965,115.83769,-31.983999,115.933021,,,,,,
Station 8,-31.946731,115.840521,8,6,5,4,1,0,5,2,1,3,0,0,5,0,0,4,0,0,1,,,-31.856238,115.805784,,,,,,
Station 9,-31.91577,115.788925,1,2,2,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,,,,,,,,,,
Station 10,-31.894752,115.902575,2,3,1,0,1,0,2,0,0,3,0,0,1,0,0,0,0,0,1,,,,,,,,,,
Station 11,-31.922504,115.884595,0,1,1,3,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,,,,,,,,,,
Station 12,-31.830595,115.816326,0,2,1,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,,,,,,,,,,
Station 13,-32.018059,115.934847,4,7,6,1,0,1,3,2,1,4,0,2,4,0,0,1,0,0,0,-31.898372,115.968807,-31.881405,115.84177,-32.083402,115.970922,,,,
Station 14,-31.933078,115.887257,6,3,1,0,0,1,3,0,0,3,0,0,1,0,0,0,0,0,0,-32.088901,115.917819,,,,,,,,
Station 15,-31.866752,115.903803,10,2,2,0,0,1,5,0,0,2,0,0,2,0,0,0,0,0,0,-32.047855,115.939572,,,,,,,,
